top_n,total_return,cagr,profit_factor,winrate,max_drawdown,sharpe
2,-0.0034753417471073966,-0.0006647235537065033,0.9900807321533979,0.3885350318471338,-0.09434321204220426,0.0007321053510466707
4,-0.016366839004320455,-0.0031469600359894656,0.9555008440886266,0.38271604938271603,-0.09879164741400878,-0.012950487614097983
1,-0.019335453087359178,-0.003722286987994594,0.9426988401183429,0.37583892617449666,-0.07751027021848356,-0.016537944560781115
3,-0.023804639369006453,-0.004591092629742,0.9358376651342014,0.38509316770186336,-0.10841147265128706,-0.021105490789006063
5,-0.030900764451865403,-0.005977206627324927,0.9158653733895211,0.37423312883435583,-0.10116350023693471,-0.028589245254461
6,-0.030900764451865403,-0.005977206627324927,0.9158653733895211,0.37423312883435583,-0.10116350023693471,-0.028589245254461
7,-0.030900764451865403,-0.005977206627324927,0.9158653733895211,0.37423312883435583,-0.10116350023693471,-0.028589245254461
8,-0.030900764451865403,-0.005977206627324927,0.9158653733895211,0.37423312883435583,-0.10116350023693471,-0.028589245254461
9,-0.030900764451865403,-0.005977206627324927,0.9158653733895211,0.37423312883435583,-0.10116350023693471,-0.028589245254461
10,-0.030900764451865403,-0.005977206627324927,0.9158653733895211,0.37423312883435583,-0.10116350023693471,-0.028589245254461
